Country,Code,Year,Wind,Solar,Others,Hydro
China,CHN,1965,0,0,0,22.097
China,CHN,1966,0,0,0,22.4859072
China,CHN,1967,0,0,0,19.3834884
China,CHN,1968,0,0,0,22.870395
China,CHN,1969,0,0,0,23.2593022
China,CHN,1970,0,0,0,24.0371166
China,CHN,1971,0,0,0,29.0752326
China,CHN,1972,0,0,0,32.9510464
China,CHN,1973,0,0,0,36.8268602
China,CHN,1974,0,0,0,41.674942
China,CHN,1975,0,0,0,43.6106392
China,CHN,1976,0,0,0,44.194
China,CHN,1977,0,0,0,46.1341166
China,CHN,1978,0,0,0,43.2261514
China,CHN,1979,0,0,0,48.5559478
China,CHN,1980,0,0,0,58.2211756
China,CHN,1981,0,0,0,65.5131856
China,CHN,1982,0,0,0,74.4138572
China,CHN,1983,0,0,0,86.4169476
China,CHN,1984,0,0,0,86.8146936
China,CHN,1985,0,0,0,92.387557
China,CHN,1986,0,0,0,94.5486436
China,CHN,1987,0,0,0,100.0242802
China,CHN,1988,0,0,0,109.1680188
China,CHN,1989,0,0,0,118.4089842
China,CHN,1990,0.002020202,0.002,0.064,126.7439726
China,CHN,1991,0.009090909,0.002,0.064,124.6889516
China,CHN,1992,0.131313131,0.003,0.113,130.6860774
China,CHN,1993,0.212121212,0.004,0.117,151.8461646
China,CHN,1994,0.383838384,0.005,0.46,167.428969
China,CHN,1995,0.616161616,0.007,3.014,190.58
China,CHN,1996,0.093939394,0.009,1.533,187.97
China,CHN,1997,0.197979798,0.011,2.722,195.98
China,CHN,1998,0.355555556,0.014,2.48,198.89
China,CHN,1999,0.473737374,0.017,2.52,196.58
China,CHN,2000,0.58989899,0.022,2.537,222.41
China,CHN,2001,0.719191919,0.031,2.554,277.43
China,CHN,2002,0.837373737,0.048,2.546,287.97
China,CHN,2003,0.996969697,0.064,2.536,283.68
China,CHN,2004,1.277777778,0.076,2.528,353.544
China,CHN,2005,1.946060606,0.084,5.322,397.017
China,CHN,2006,3.711818182,0.095,7.133,435.786
China,CHN,2007,5.479292929,0.114,9.863,485.264
China,CHN,2008,13.1,0.152,14.866,636.96
China,CHN,2009,27.61499783,0.279,20.85932,615.644
China,CHN,2010,49.39962,0.701,24.90023,711.38314
China,CHN,2011,74.1,2.61,27.632,688.045
China,CHN,2012,103.0499065,3.5945099,30.133,862.79411
China,CHN,2013,138.2641332,8.3738865,37.133,909.6122734
China,CHN,2014,159.7627,23.51216,46.26822,1059.69167
China,CHN,2015,185.59144,39.48057,54.07029,1114.51541
China,CHN,2016,240.8605,66.52795,62.134767,1153.2675
China,CHN,2017,304.6,117.8,79.59748421,1165.065
China,CHN,2018,365.8,176.9,93.7238,1198.887
China,CHN,2019,405.3,224,112.7238,1272.538
China,CHN,2020,466.5,261.1,135.5242,1322.009109
