Entity,Code,Year,Wind,Solar,Others,Hydro
Germany,DEU,1965,0,0,0,16.2122092
Germany,DEU,1966,0,0,0,17.5339978
Germany,DEU,1967,0,0,0,16.6523118
Germany,DEU,1968,0,0,0,16.8989908
Germany,DEU,1969,0,0,0,13.7134778
Germany,DEU,1970,0,0,0.920020161,17.5336782
Germany,DEU,1971,0,0,1.001028226,13.4551882
Germany,DEU,1972,0,0,1.01874874,13.2058944
Germany,DEU,1973,0,0,1.053104839,15.2294618
Germany,DEU,1974,0,0,1.07625,17.6381318
Germany,DEU,1975,0,0,1.124710181,17.0591234
Germany,DEU,1976,0,0,1.277685232,13.846833
Germany,DEU,1977,0,0,1.246583921,17.5821604
Germany,DEU,1978,0,0,1.317465978,18.3622344
Germany,DEU,1979,0,0,1.443317792,18.3836866
Germany,DEU,1980,0,0,1.96625378,19.069143
Germany,DEU,1981,0,0,1.804237651,19.9146734
Germany,DEU,1982,0,0,1.798813004,19.737993
Germany,DEU,1983,0,0,1.540238155,18.7120174
Germany,DEU,1984,0,0,1.642944808,18.4791744
Germany,DEU,1985,0,0,1.644029738,17.4006496
Germany,DEU,1986,0.001,0,1.595569556,18.5719818
Germany,DEU,1987,0.002,0,1.445849294,20.34297
Germany,DEU,1988,0.008,0,1.637881804,20.0793908
Germany,DEU,1989,0.026,0,1.749267893,18.2437278
Germany,DEU,1990,0.071,0.001,1.435,17.335
Germany,DEU,1991,0.1,0.001,1.471,15.85
Germany,DEU,1992,0.275,0.004,1.558,18.635
Germany,DEU,1993,0.6,0.003,1.635,18.96
Germany,DEU,1994,0.909,0.007,1.875,20.195
Germany,DEU,1995,1.5,0.007,2.01,21.556
Germany,DEU,1996,2.032,0.012,2.098,18.818
Germany,DEU,1997,2.966,0.018,2.273,18.952
Germany,DEU,1998,4.489,0.035,3.256,19.002
Germany,DEU,1999,5.528,0.03,3.585,20.686
Germany,DEU,2000,9.513,0.06,4.731,24.86675
Germany,DEU,2001,10.509,0.076,5.214,23.241
Germany,DEU,2002,15.786,0.162,6.048,23.66175
Germany,DEU,2003,18.713,0.313,8.841,17.722
Germany,DEU,2004,25.509,0.557,10.4712,20.096
Germany,DEU,2005,27.229,1.282,14.3542,19.639
Germany,DEU,2006,30.71,2.22,18.7004,20.0085
Germany,DEU,2007,39.713,3.075,24.3634,21.169
Germany,DEU,2008,40.574,4.42,27.8096,20.443
Germany,DEU,2009,38.648,6.583,30.9048,19.031
Germany,DEU,2010,38.547,11.729,33.9517,20.953
Germany,DEU,2011,49.857,19.599,36.9098,17.672274
Germany,DEU,2012,51.68,26.38,43.2284,22.09
Germany,DEU,2013,52.737,31.01,45.593,22.998
Germany,DEU,2014,58.497,36.056,48.385,19.58710177
Germany,DEU,2015,80.624,38.726,50.459,18.97715888
Germany,DEU,2016,79.924,38.098,51.10351075,20.54634396
Germany,DEU,2017,105.693,39.401,51.08045514,20.15
Germany,DEU,2018,109.951,45.784,51.07852221,17.975
Germany,DEU,2019,125.894,46.392,50.41662869,20.19231996
Germany,DEU,2020,130.965,50.6,50.81558988,18.633
