Country,Code,Year,Renewables,Hydro,Solar,Wind,Others
China,CHN,1985,22.496,22.496,0,0,0
China,CHN,1986,21.033,21.033,0,0,0
China,CHN,1987,20.115,20.115,0,0,0
China,CHN,1988,20.023,20.023,0,0,0
China,CHN,1989,20.247,20.247,0,0,0
China,CHN,1990,20.414,20.403,0,0,0.011
China,CHN,1991,18.414,18.403,0,0.001,0.01
China,CHN,1992,17.367,17.334,0,0.017,0.016
China,CHN,1993,18.751,18.71,0,0.026,0.015
China,CHN,1994,18.137,18.046,0.001,0.041,0.049
China,CHN,1995,19.286,18.925,0.001,0.061,0.299
China,CHN,1996,17.535,17.384,0.001,0.009,0.141
China,CHN,1997,17.517,17.259,0.001,0.017,0.24
China,CHN,1998,17.287,17.043,0.001,0.03,0.213
China,CHN,1999,16.105,15.862,0.001,0.038,0.204
China,CHN,2000,16.639,16.407,0.001,0.044,0.187
China,CHN,2001,18.958,18.735,0.002,0.049,0.172
China,CHN,2002,17.618,17.411,0.003,0.051,0.153
China,CHN,2003,15.036,14.848,0.003,0.052,0.133
China,CHN,2004,16.222,16.046,0.004,0.058,0.114
China,CHN,2005,16.173,15.879,0.003,0.078,0.213
China,CHN,2006,15.589,15.207,0.003,0.129,0.25
China,CHN,2007,15.259,14.788,0.003,0.167,0.301
China,CHN,2008,19.025,18.221,0.004,0.375,0.425
China,CHN,2009,17.886,16.573,0.008,0.743,0.562
China,CHN,2010,18.78,16.989,0.017,1.18,0.594
China,CHN,2011,16.89,14.666,0.056,1.58,0.588
China,CHN,2012,20.123,17.37,0.072,2.075,0.606
China,CHN,2013,20.215,16.818,0.155,2.556,0.686
China,CHN,2014,22.35,18.371,0.408,2.77,0.801
China,CHN,2015,24.079,19.256,0.682,3.207,0.934
China,CHN,2016,25.001,18.934,1.092,3.954,1.021
China,CHN,2017,25.419,17.765,1.796,4.645,1.213
China,CHN,2018,25.778,16.839,2.485,5.138,1.316
China,CHN,2019,27.019,17.067,3.004,5.436,1.512
China,CHN,2020,28.278,17.108,3.379,6.037,1.754
